Company_Name,Monthly_Visits,Price_Category,Avg_Tour_Price,Current_Monthly_Revenue,Additional_Monthly_Revenue,Additional_Annual_Revenue,Annual_OTA_Loss,Setup_Fee,Monthly_Fee,Total_Year_1_Cost,Total_Annual_Benefit,ROI_Percentage,Payback_Months,Profitable_Year_1
Discover Destinations,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Armenia Holidays DMC,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Davos Klosters Bergbahnen AG,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Chubit Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
CoreysWave Professional Surf Instruction,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Epic Private Journeys,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Discover Dorset Ltd,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
"E-travel.cz, a.s.",2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Aukana Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
DERTOUR Luxury,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Discover Travel & Tours,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Brickell Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Classic Travel inc,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Caribbean American,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
ASCOT Travel Services,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Departures Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Concierge Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Alpine Infusion,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bull Moose Patrol,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bon Voyage . pl - Luksusowe wakacje,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Avexia Voyages - UVET,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
ADMIRAL TOURS YACHTING&TRAVEL AGENCY,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Colconquerors,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Beaver Mountain Ski Area Inc,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Calparrio Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Bukla Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
ExploringMacedonia.com,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Carmel Travel Company,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Cruise Planners - Kirk and Jennifer Kanter,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Different Snow,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Atlas Leisure Homes Ltd,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Access Italy,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Club Marco Polo,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Arctic Coworking Lodge,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Anderson Coach and Travel,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Adriaday travel agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Dreams Team Exclusive Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
A2B | mobility in motion,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Alien Travel Service,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
BubbleGlobe,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Captain Rod's Boat Lift and Pier Services,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Davisville Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Eclipse Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bergan Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
ALASKA AUTO RENTAL,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bookme,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Almeda Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Donner Ski Ranch,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
EVOLUTION VOYAGES,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Awesome Adventures Group,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Bismillah Hajj & Umrah Services,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Blue Marine Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bellwald Tourismus,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Discerning Collection Ltd,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Bike and Tours,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
A1cyprus Holidays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Baldwins Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Awesome Africa Tours,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Breathe in Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Arriva Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,2448.0,3800,150,5600,8771.999999999995,156.64285714285705,7.660738714090292,True
Apartamentos Playa Torrecilla,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Appenzellerland Tourismus AG,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Andiamo Adventours,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bearpaw Heli-Skiing,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Excellence in Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Cruise Planners Dream-Journeys,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Indra Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Icelandic Dream Holidays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Melissa Viaggi,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Le monde de l'Inde et de l'Asie,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
International Golf Specialists | Golf Travel Packages & Hosted Tours,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
LaMacchia Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Movis Private Tours,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Grandir Aventure,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Nigeria Visa Services,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
High Point Holidays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
IRE viajes SL,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
JSP Business Travel Company,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Mount KATO Ski Area,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
PILOT Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Festival Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
NorthStar Luxury Travel & Cruise Planners,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Infinita Viajes,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Jacaranda de Madagascar,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Nomad Adventure,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Marquette Mountain Resort,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Holidayplanet,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Globester.com,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Heritage Group Travel Limited,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Journey House Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
GreekEscapes.com,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
FreeBird Adventures,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Luxury Explorer,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Guidebooker,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
North Cascades Mountain Guides,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
JOY TOUR & TRAVEL,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
GOGO Vacations,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Great Wide Open,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Fly on a Cruise,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Flamenca Property,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Label Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
LOCALTERMINAL,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
HLX Touristik GmbH,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,7776.0,3800,150,5600,19223.99999999999,343.2857142857141,3.4956304619225986,True
Familytrip SAS,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Lola Stoker Cruise Holildays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
INTERNATIONAL STAGE LINES,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Flipside Wintersport Groepsreizen,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Lupin Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Fantasia Villas,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Medinlife Travel Tourism and Consulting Luxury Real Estate Gold Petroleum Products Diamonds etc.,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
